cod_articulo,numero_proveedor,numero_deposito,cantidad,p_pesos,p_dolar
BROCA-59,ROBIT,1B,10,0,201.5
BROCA-60,ROBIT,1B,4,0,171.25
BROCA-61,ROBIT,1B,3,0,109.25
BROCA-62,ROBIT,1B,1,0,109.25
BROCA-63,ROCKMORE,1B,5,0,408
BROCA-64,ROCKMORE,1B,105,0,312.2
BROCA-65,ATLAS,1B,6,0,289
BROCA-66,BOART,1B,32,0,227.21
BROCA-67,ROCKMORE,1B,1,0,703
BROCA-68,BOART,1B,4,0,269.82
BROCA-69,ATLAS,1B,25,0,265
BROCA-70,BOART,1B,11,0,264.09
BROCA-71,ROCKMORE,1B,23,0,312.2
BROCA-72,BOART,1B,30,0,213.26
BROCA-73,ROCKMORE,1B,115,0,312.2
BROCA-74,TOPO,1B,1,0,230
BROCA-75,ATLAS,1B,50,0,250
BROCA-76,ROCKMORE,1B,76,0,322
BROCA-77,ROCKMORE,1B,132,0,294.77
BROCA-78,ROCKMORE,1B,25,0,213
